"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889043","1.1.1.1.1","23948617","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889044","1.1.1.1.2","23948617","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889045","1.1.1.1.3","23948617","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009343","1.1.1.1.4","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Percent","Percent","239","units ","0","v4009344","1.1.1.1.5","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009345","1.1.1.1.6","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009346","1.1.1.1.7","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Total population for the variable high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009347","1.1.1.1.8","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Number of persons","Persons","249","units ","0","v1889046","1.1.1.2.1","2077788","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889047","1.1.1.2.2","1953132","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889048","1.1.1.2.3","2202444","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009351","1.1.1.2.4","3.1","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Percent","Percent","239","units ","0","v4009352","1.1.1.2.5","8.7","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009353","1.1.1.2.6","8.2","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009354","1.1.1.2.7","9.2","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","With high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009355","1.1.1.2.8","3.1","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Number of persons","Persons","249","units ","0","v1889049","1.1.1.3.1","21843696","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889050","1.1.1.3.2","21717727","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889051","1.1.1.3.3","21969666","","","","0"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009359","1.1.1.3.4","0.3","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Percent","Percent","239","units ","0","v4009360","1.1.1.3.5","91.2","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009361","1.1.1.3.6","90.7","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009362","1.1.1.3.7","91.7","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","Without high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009363","1.1.1.3.8","0.3","","","","1"
"1994","Canada","","Total, 12 years and over","Both sexes","High blood pressure, not stated","Number of persons","Persons","249","units ","0","v1889052","1.1.1.4.1","27133","E","","","0"
